,spc1,spc2,n_spc1,n_spc2,permanova_teststat,permanova_pval,permadisp_teststat,permadisp_pval,permanova_corr_pval,permadisp_corr_pval
0,pue,uni,3,3,1.0229753219726012,0.11,0.436346564813528,0.579,0.121,0.579
1,pue,nig,3,3,1.0556383586559321,0.121,1.5912956045237685,0.113,0.121,0.1356
2,pue,ind,3,2,1.3286731464777317,0.085,16982.798651663306,0.112,0.121,0.1356
3,uni,nig,3,3,1.0705164426498837,0.1,1.8270485762444701,0.098,0.121,0.1356
4,uni,ind,3,2,1.356747630141855,0.111,792.1533971804521,0.087,0.121,0.1356
5,nig,ind,3,2,1.3986401793237961,0.102,1035.9936842205962,0.101,0.121,0.1356
