,spc1,spc2,n_spc1,n_spc2,permanova_teststat,permanova_pval,permadisp_teststat,permadisp_pval,permanova_corr_pval,permadisp_corr_pval
0,gut,tan,2,3,1.3771442987299458,0.105,621.7565613106091,0.092,0.114,0.144
1,gut,chl,2,3,1.1300747306471868,0.088,2912.7893764520554,0.092,0.114,0.144
2,gut,pue,2,3,1.1798875755510938,0.102,9260.913937978308,0.109,0.114,0.144
3,tan,chl,3,3,1.2799830382152355,0.114,18.73642812512313,0.12,0.114,0.144
4,tan,pue,3,3,1.2960041186644247,0.094,19.361492930485394,0.091,0.114,0.144
5,chl,pue,3,3,1.0184161228856055,0.099,0.26713085711981066,0.499,0.114,0.499
