,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,images
0,-1754.680101962258,7448.981736177114,3279.527913569078,7086.0844703998655,2957.3079641904374,-1334.0630223577286,-2807.924837454326,1109.7483334425501,5669.603101014986,-1681.5107559181554,2938.7805787951256,1602.627630833614,-898.8858896595443,-1873.889854388203,-1379.1577710781585,PL22_0358induvi-l5.png
1,-20622.273448327087,-3809.5525517808665,-4388.191991955844,-901.1452392475005,3237.899772395996,76.36745482105522,838.6653394433628,856.6723018294934,-717.9882932477791,735.6761144196703,1008.2723915791315,-525.750965756891,-856.0101902993504,511.28081785992134,-96.97218275393136,PL22_0228nigboc-l5.png
2,-8189.770460162725,13144.680304715139,83.23384928465339,-6204.887450270311,-3235.3142566000115,2792.4258825897336,279.68594930053877,-2014.1746590607963,-262.4329429185559,2152.9928464846503,-3421.23035606565,-2044.989310369349,-750.2735333942741,-1827.289107831191,38.03313345782676,PL22_0307abeuvi-l3.png
3,-26147.910560768676,1739.1647217044579,-4341.20310406058,920.5566179615172,1855.0762547828324,-3034.867107328125,-388.8879222075365,280.41621123640414,340.75381073284797,34.38067494434274,-1018.8453190224463,-17.96378248136922,815.1213815510688,-49.93480315628097,-84.78107651691023,PL22_0208nigboc-l12.png
4,-25844.96105110761,-1347.784414418302,-1922.5856829569161,-2515.057044711333,1686.4208670501748,-3047.896074919016,-118.82065666840727,131.4149869493415,-700.2399894508674,-102.64424244133792,-315.7010940602924,316.9677791782207,-165.18206657735377,-23.688245449912937,263.6687058898689,PL22_0491atlver-l4.png
5,-19512.934340005824,-4414.940545370166,-3745.789032046961,406.95239652825865,1500.7999436652085,-1306.6672857403303,1236.0056059216618,707.2564143338263,-909.7336712586805,-114.8926671319765,597.6237744311064,-154.12353968776438,199.3049450319901,325.3335225323684,783.289453811717,PL22_0095nigboc-l3.png
6,26871.752890224867,23779.878967493056,-1993.1095636927864,-4558.092893482711,-5428.048490229995,-7793.047271774939,4707.602023472777,-2507.4022907450335,-170.06838916067144,-530.7309795731132,83.68685642507793,-2579.659032671099,-4065.8875248271775,4860.461083185498,-2039.3902213288773,PL22_0486casver-l4.png
7,-4709.943397238827,2549.5820499542547,3022.073202359159,-4925.847874888645,-4264.365272108454,3306.5802008559526,-3907.645660323033,-732.8152725743867,-1234.910022854183,2234.525564350434,6.700523454345987,-1018.8078785280152,-48.23677462791558,-301.12835034227277,700.986849204692,PL17_088abebel-l3-s4-f4-c2-d1.png
8,-11299.986982481445,-3222.30039239589,5271.180754013524,-525.7812650752886,-2628.89755263864,4245.260745536759,-1550.4811435585048,785.2225142527361,-709.7955708910605,-1325.2393452997856,-352.1065249573945,100.67581813865546,-845.2079424364102,459.55510408132335,-377.1362307463323,PL22_0154puetob-l7.png
9,8597.8053505059,-7646.538650716057,3083.717934534244,-13631.500804142408,-927.6690845548462,-1775.9810203589439,1612.5427565439406,-1399.6575780551514,2838.1094410393193,617.0817017537546,4586.8757233350225,-158.24671533747645,2354.3142195887563,776.2909679909745,-599.3545576404053,PL22_0147gumtob-l3.png
10,-3852.40342443266,3833.057704301087,2250.6708170649094,-4845.473725964214,-2158.1837769313615,2571.622545550813,-1963.3759582007935,-1775.4828825820546,-3144.632695422273,194.49237095021152,-332.583785380858,1366.815055431292,595.2773001825177,-762.2579652314128,866.8722807456987,PL22_0303abeuvi-l2.png
11,-22059.079818599952,-6806.989871756677,-9268.615912745845,19644.573592444918,-9364.796608235165,-950.730079807613,4260.215010961699,-6426.510630969684,-1480.0197236146905,2031.96065204067,3986.6612975700627,-1676.0003708019883,-304.2839387779011,-33.31529791346802,-376.2561815925615,PL17_095maybel-l11-s4-f4-c2-d1.png
12,-18686.50611072026,-3410.9876697805194,4516.580279642454,-2729.5384047144557,-6134.497169881775,3416.1334308378387,-2770.977417279597,2681.6818758233176,128.37310936646966,141.21619498705815,-950.5504857417359,-2128.119549739953,-518.6505200821848,295.7868164977959,-396.1174190075639,PL22_0178chltob-l2.png
13,-18712.921759962275,-2537.1819956210393,-4705.655703911396,-1304.9650398398876,3654.7995887677275,-71.80503011277817,800.5511773785984,233.70495010671624,-642.5333535401627,-422.29337100884385,1023.3968333174455,61.83456314688153,436.1890548691213,174.89254545052137,562.0043434995655,PL22_0025nigboc-l11.png
