,spc1,spc2,n_spc1,n_spc2,permanova_teststat,permanova_pval,permadisp_teststat,permadisp_pval,permanova_corr_pval,permadisp_corr_pval
0,bel,gun,12,3,1.3941010438727446,0.005,203.99623876085974,0.205,0.015000000000000001,0.3075
1,bel,qui,12,2,0.9911019966720648,0.591,368.2386149720544,0.415,0.591,0.454
2,bel,pri,12,4,1.9665866892967705,0.003,149.84065191964157,0.139,0.015000000000000001,0.3
3,gun,qui,3,2,1.24288974431579,0.095,433.1152712105604,0.113,0.11399999999999999,0.3
4,gun,pri,3,4,1.5110888089741457,0.028,2.7884482983514927,0.15,0.056,0.3
5,qui,pri,2,4,1.5284876311261717,0.066,56.06207385727493,0.454,0.099,0.454
